time,type
2022-07-06 11:00:00,JAM
2022-07-06 12:00:00,JAM
2022-07-06 16:00:00,JAM
2022-07-06 17:00:00,JAM
2022-07-06 17:00:00,WEATHERHAZARD
2022-07-06 18:00:00,JAM
2022-07-06 18:00:00,WEATHERHAZARD
2022-07-06 19:00:00,JAM
2022-07-07 14:00:00,JAM
2022-07-07 15:00:00,JAM
2022-07-07 16:00:00,JAM
2022-07-07 17:00:00,JAM
2022-07-07 18:00:00,JAM
2022-07-07 19:00:00,WEATHERHAZARD
2022-07-08 09:00:00,JAM
2022-07-08 10:00:00,JAM
2022-07-08 14:00:00,JAM
2022-07-08 15:00:00,JAM
2022-07-08 17:00:00,JAM
2022-07-08 18:00:00,JAM
2022-07-08 19:00:00,WEATHERHAZARD
2022-07-08 20:00:00,WEATHERHAZARD
2022-07-09 11:00:00,JAM
2022-07-09 12:00:00,JAM
2022-07-09 13:00:00,JAM
2022-07-09 14:00:00,JAM
2022-07-09 15:00:00,JAM
2022-07-09 17:00:00,JAM
2022-07-09 19:00:00,JAM
2022-07-09 20:00:00,JAM
2022-07-10 15:00:00,JAM
2022-07-10 16:00:00,JAM
2022-07-11 16:00:00,JAM
2022-07-11 17:00:00,JAM
2022-07-11 18:00:00,JAM
2022-07-11 19:00:00,JAM
2022-07-11 19:00:00,WEATHERHAZARD
2022-07-11 20:00:00,WEATHERHAZARD
2022-07-12 13:00:00,JAM
2022-07-12 14:00:00,JAM
2022-07-12 15:00:00,JAM
2022-07-12 17:00:00,JAM
2022-07-12 18:00:00,JAM
2022-07-12 19:00:00,JAM
2022-07-14 12:00:00,JAM
2022-07-14 18:00:00,JAM
2022-07-15 11:00:00,JAM
2022-07-15 12:00:00,JAM
2022-07-15 13:00:00,WEATHERHAZARD
2022-07-15 15:00:00,JAM
2022-07-15 17:00:00,JAM
2022-07-16 14:00:00,JAM
2022-07-16 15:00:00,JAM
2022-07-16 16:00:00,JAM
2022-07-16 17:00:00,JAM
2022-07-16 18:00:00,JAM
2022-07-16 21:00:00,JAM
2022-07-17 12:00:00,JAM
