time,median_length,median_delay,median_speed_kmh,median_level
2022-07-06 06:00:00,219.0,73.5,6.1225001500000005,3.5
2022-07-06 07:00:00,867.75,92.0,14.780000000000001,2.5
2022-07-06 08:00:00,849.0,111.25,18.395,2.5
2022-07-06 09:00:00,1076.0,123.25,17.740000000000002,2.5
2022-07-06 10:00:00,1024.5,119.5,17.814999999999998,2.5
2022-07-06 11:00:00,1065.0,178.0,12.19,3.0
2022-07-06 12:00:00,882.5,106.0,16.965,2.5
2022-07-06 13:00:00,1038.75,115.25,17.4299995,2.5
2022-07-06 14:00:00,1071.0,249.0,12.365,3.0
2022-07-06 15:00:00,1054.0,148.75,15.1649995,2.5
2022-07-06 16:00:00,1265.25,157.75,19.962500499999997,2.5
2022-07-06 17:00:00,1004.5,148.0,16.5975,2.5
2022-07-06 18:00:00,360.0,95.0,8.07,3.0
2022-07-06 19:00:00,1540.0,121.0,20.365000000000002,2.5
2022-07-06 20:00:00,1099.0,120.75,15.737499999999999,2.5
2022-07-06 21:00:00,1615.0,73.5,23.59,2.0
2022-07-06 22:00:00,,,,
2022-07-06 23:00:00,1160.5,68.25,27.525,1.5
2022-07-07 00:00:00,,,,
2022-07-07 01:00:00,,,,
2022-07-07 02:00:00,,,,
2022-07-07 03:00:00,,,,
2022-07-07 04:00:00,1172.25,153.0,16.322499999999998,2.5
2022-07-07 05:00:00,,,,
2022-07-07 06:00:00,475.5,131.0,8.01,3.5
2022-07-07 07:00:00,799.0,120.0,11.51,3.0
2022-07-07 08:00:00,799.0,123.0,16.06,3.0
2022-07-07 09:00:00,1253.75,99.0,17.855,2.5
2022-07-07 10:00:00,861.0,171.5,13.78,3.0
2022-07-07 11:00:00,586.0,104.5,9.51,2.5
2022-07-07 12:00:00,1014.5,127.5,16.5075005,2.5
2022-07-07 13:00:00,1224.75,121.5,18.0825,2.5
2022-07-07 14:00:00,1104.0,213.0,13.87,3.0
2022-07-07 15:00:00,890.0,190.0,12.06,3.0
2022-07-07 16:00:00,916.0,90.5,17.4225,2.5
2022-07-07 17:00:00,1591.5,139.25,20.0075,2.5
2022-07-07 18:00:00,1428.5,153.0,18.775,2.5
2022-07-07 19:00:00,1828.0,168.5,19.595,2.5
2022-07-07 20:00:00,1707.5,136.0,18.125,2.5
2022-07-07 21:00:00,1227.5,100.5,17.095,2.5
2022-07-07 22:00:00,967.0,124.75,11.915000000000001,3.0
2022-07-07 23:00:00,184.0,145.0,4.24,4.0
2022-07-08 00:00:00,,,,
2022-07-08 01:00:00,1172.0,89.0,23.325,2.0
2022-07-08 02:00:00,668.0,132.5,13.455,3.0
2022-07-08 03:00:00,,,,
2022-07-08 04:00:00,,,,
2022-07-08 05:00:00,,,,
2022-07-08 06:00:00,489.0,120.75,8.4,3.5
2022-07-08 07:00:00,680.0,99.0,9.75,3.0
2022-07-08 08:00:00,732.0,84.5,10.1725002,2.5
2022-07-08 09:00:00,799.0,100.0,13.94,3.0
2022-07-08 10:00:00,960.0,116.0,16.8675,2.5
2022-07-08 11:00:00,1170.5,143.5,16.0325,2.5
2022-07-08 12:00:00,839.5,87.0,17.805,2.5
2022-07-08 13:00:00,997.0,153.0,11.120001,3.0
