time,median_length,median_delay,median_speed_kmh,median_level
2022-07-10 12:00:00,746.0,74.0,18.555,2.0
2022-07-10 13:00:00,1035.0,82.75,19.5749995,2.5
2022-07-10 14:00:00,556.0,134.5,11.115,3.0
2022-07-10 15:00:00,812.5,110.0,15.13,2.5
2022-07-10 16:00:00,849.0,177.0,11.52,3.0
2022-07-10 17:00:00,1079.0,162.0,15.1825005,2.5
2022-07-10 18:00:00,878.0,128.5,15.45,2.5
2022-07-10 19:00:00,1123.5,202.0,15.845,2.5
2022-07-10 20:00:00,1147.0,85.0,19.51,2.0
2022-07-10 21:00:00,1038.0,94.5,20.14,2.0
2022-07-10 22:00:00,796.0,105.5,16.9375,2.5
2022-07-10 23:00:00,1067.2857142857142,93.5,19.14303566071428,1.0
2022-07-11 00:00:00,929.5,86.6875,18.68020829166667,1.0
2022-07-11 01:00:00,1156.0,80.0,21.91,1.0
2022-07-11 02:00:00,987.0,128.5,15.885,3.0
2022-07-11 03:00:00,954.0,62.25,21.6625,1.0
2022-07-11 04:00:00,946.5,103.41666666666667,17.946666666666665,2.0
2022-07-11 05:00:00,1021.1538461538462,80.0,20.202692384615382,1.0
2022-07-11 06:00:00,849.0,72.0,21.01,2.0
2022-07-11 07:00:00,1140.0,74.5,23.045,1.5
2022-07-11 08:00:00,849.0,79.0,17.945,2.0
2022-07-11 09:00:00,899.0,80.0,20.7,2.0
2022-07-11 10:00:00,1151.25,115.5,16.682499999999997,2.5
2022-07-11 11:00:00,1244.5,139.5,15.495,2.5
2022-07-11 12:00:00,1140.0,111.5,19.5025,2.5
2022-07-11 13:00:00,982.0,77.0,21.765,2.0
2022-07-11 14:00:00,850.0,125.0,14.57,3.0
2022-07-11 15:00:00,1069.0,92.0,21.47,2.0
2022-07-11 16:00:00,1165.0,454.5,9.73,3.0
2022-07-11 17:00:00,994.0,138.0,16.055,3.0
2022-07-11 18:00:00,920.0,220.0,11.795,3.0
2022-07-11 19:00:00,1417.0,265.0,10.88,3.0
2022-07-11 20:00:00,828.5,137.0,14.89,2.5
2022-07-11 21:00:00,1173.0,76.0,20.135,2.0
2022-07-11 22:00:00,850.0,63.0,21.18,1.0
2022-07-11 23:00:00,1067.2857142857142,93.5,19.14303566071428,1.0
2022-07-12 00:00:00,929.5,86.6875,18.68020829166667,1.0
2022-07-12 01:00:00,1156.0,80.0,21.91,1.0
2022-07-12 02:00:00,987.0,128.5,15.885,3.0
2022-07-12 03:00:00,954.0,62.25,21.6625,1.0
2022-07-12 04:00:00,946.5,103.41666666666667,17.946666666666665,2.0
2022-07-12 05:00:00,1021.1538461538462,80.0,20.202692384615382,1.0
2022-07-12 06:00:00,880.75,139.67,14.63875,2.55
2022-07-12 07:00:00,1289.0,80.0,21.01,2.0
2022-07-12 08:00:00,955.5,120.5,16.91,2.5
2022-07-12 09:00:00,1243.0,166.0,17.1,2.5
2022-07-12 10:00:00,1257.0,139.5,18.43,2.0
2022-07-12 11:00:00,938.0,98.0,18.06,2.0
2022-07-12 12:00:00,1016.5,115.0,17.1775,2.5
2022-07-12 13:00:00,1032.0,91.0,20.35,2.0
2022-07-12 14:00:00,981.0,70.0,21.27,2.0
2022-07-12 15:00:00,968.0,132.5,16.4925,2.5
2022-07-12 16:00:00,1069.0,186.0,13.32,3.0
2022-07-12 17:00:00,718.0,162.0,10.14,3.0
2022-07-12 18:00:00,946.5,137.25,15.1625005,2.5
2022-07-12 19:00:00,1056.5,124.25,18.545,2.5
2022-07-12 20:00:00,1169.0,87.0,21.99,2.0
2022-07-12 21:00:00,1417.0,80.5,21.16,2.0
2022-07-12 22:00:00,854.0,78.5,17.0074995,2.5
2022-07-12 23:00:00,1067.2857142857142,93.5,19.14303566071428,1.0
2022-07-13 00:00:00,929.5,86.6875,18.68020829166667,1.0
2022-07-13 01:00:00,1156.0,80.0,21.91,1.0
2022-07-13 02:00:00,987.0,128.5,15.885,3.0
2022-07-13 03:00:00,954.0,62.25,21.6625,1.0
2022-07-13 04:00:00,946.5,103.41666666666667,17.946666666666665,2.0
2022-07-13 05:00:00,1021.1538461538462,80.0,20.202692384615382,1.0
2022-07-13 06:00:00,651.0,85.0,16.4275,2.5
