time,median_length,median_delay,median_speed_kmh,median_level
2022-07-10 19:00:00,1254.0,74.0,23.28,2.0
2022-07-10 20:00:00,1640.0,87.0,25.9,2.0
2022-07-10 21:00:00,550.5,76.0,13.31,2.0
2022-07-10 22:00:00,,,,
2022-07-10 23:00:00,,,,
2022-07-11 00:00:00,,,,
2022-07-11 01:00:00,,,,
2022-07-11 02:00:00,,,,
2022-07-11 03:00:00,,,,
2022-07-11 04:00:00,,,,
2022-07-11 05:00:00,,,,
2022-07-11 06:00:00,676.5,107.5,12.120000000000001,2.5
2022-07-11 07:00:00,1345.5,111.5,19.4575,2.5
2022-07-11 08:00:00,1417.0,76.0,25.47,2.0
2022-07-11 09:00:00,878.0,93.5,16.655,2.5
2022-07-11 10:00:00,1395.0,77.0,25.48,2.0
2022-07-11 11:00:00,1334.0,112.0,23.24,2.0
2022-07-11 12:00:00,1470.0,97.0,24.33,2.0
2022-07-11 13:00:00,1508.0,101.0,23.03,2.0
2022-07-11 14:00:00,1262.0,98.5,19.1375005,2.5
2022-07-11 15:00:00,1408.0,102.5,18.122500000000002,2.5
2022-07-11 16:00:00,1267.5,97.25,19.4075,2.5
2022-07-11 17:00:00,1277.0,161.75,19.3475,2.5
2022-07-11 18:00:00,1470.0,94.0,25.24,2.0
2022-07-11 19:00:00,1263.25,100.25,21.2574995,2.5
2022-07-11 20:00:00,1001.5,66.0,20.41,2.0
2022-07-11 21:00:00,756.5,80.5,16.715,2.5
2022-07-11 22:00:00,1701.0,70.5,29.314999999999998,1.5
2022-07-11 23:00:00,,,,
2022-07-12 00:00:00,,,,
2022-07-12 01:00:00,,,,
2022-07-12 02:00:00,,,,
2022-07-12 03:00:00,,,,
2022-07-12 04:00:00,,,,
2022-07-12 05:00:00,,,,
2022-07-12 06:00:00,607.0,104.5,12.71,3.0
2022-07-12 07:00:00,1150.75,94.0,19.9175,2.5
2022-07-12 08:00:00,907.0,71.0,20.1,2.0
2022-07-12 09:00:00,1067.0,99.0,15.445,2.0
2022-07-12 10:00:00,1395.0,84.0,23.82,2.0
2022-07-12 11:00:00,1395.0,85.5,23.425,2.0
2022-07-12 12:00:00,1158.0,101.0,22.375,2.0
2022-07-12 13:00:00,1326.0,147.5,18.625,2.5
2022-07-12 14:00:00,1184.0,140.5,17.925,2.5
2022-07-12 15:00:00,641.0,121.0,13.615,3.0
2022-07-12 16:00:00,1121.0,100.0,19.755,2.5
2022-07-12 17:00:00,1407.0,215.25,18.027499499999998,2.5
2022-07-12 18:00:00,1402.75,148.25,18.2825,2.5
2022-07-12 19:00:00,1048.5,99.5,20.205,2.5
2022-07-12 20:00:00,1141.75,93.0,17.4424995,2.5
2022-07-12 21:00:00,1417.0,91.0,25.75,2.0
2022-07-12 22:00:00,814.0,71.5,19.785,2.5
2022-07-12 23:00:00,744.5,149.0,15.3775,3.0
2022-07-13 00:00:00,,,,
2022-07-13 01:00:00,,,,
2022-07-13 02:00:00,,,,
2022-07-13 03:00:00,518.0,67.0,14.165,2.0
2022-07-13 04:00:00,,,,
2022-07-13 05:00:00,,,,
2022-07-13 06:00:00,1233.0,61.0,25.5,2.0
2022-07-13 07:00:00,651.0,72.0,17.18,2.0
2022-07-13 08:00:00,1001.0,124.25,13.3,2.5
2022-07-13 09:00:00,1144.0,77.5,22.935,2.0
2022-07-13 10:00:00,1061.5,109.0,17.2225,2.5
2022-07-13 11:00:00,1227.25,112.25,19.200000000000003,2.5
2022-07-13 12:00:00,1048.0,126.5,14.9,2.5
2022-07-13 13:00:00,1130.0,124.0,19.190001000000002,2.5
2022-07-13 14:00:00,1391.75,127.25,18.9500005,2.5
2022-07-13 15:00:00,1317.75,119.25,18.6675005,2.5
2022-07-13 16:00:00,1449.0,111.0,23.03,2.0
2022-07-13 17:00:00,1642.5,181.5,19.7574995,2.5
2022-07-13 18:00:00,1489.0,152.5,18.95,2.5
2022-07-13 19:00:00,1268.0,82.0,22.28,2.0
2022-07-13 20:00:00,1559.0,78.0,19.275,2.0
2022-07-13 21:00:00,1329.5,71.0,24.735,2.0
2022-07-13 22:00:00,923.0,154.0,14.745,3.0
2022-07-13 23:00:00,903.5,74.0,17.8724995,1.5
2022-07-14 00:00:00,,,,
2022-07-14 01:00:00,,,,
2022-07-14 02:00:00,,,,
2022-07-14 03:00:00,,,,
2022-07-14 04:00:00,,,,
2022-07-14 05:00:00,,,,
2022-07-14 06:00:00,,,,
2022-07-14 07:00:00,957.5,76.5,19.86,2.5
2022-07-14 08:00:00,1284.0,79.0,17.72,2.0
2022-07-14 09:00:00,1238.0,99.0,24.08,2.0
2022-07-14 10:00:00,1470.0,85.0,26.82,2.0
2022-07-14 11:00:00,1021.5,121.5,17.88,2.5
2022-07-14 12:00:00,1131.5,99.5,17.490000000000002,2.5
2022-07-14 13:00:00,1494.0,112.0,21.82,2.0
2022-07-14 14:00:00,1838.0,92.0,20.93,2.0
2022-07-14 15:00:00,1322.0,101.5,20.3,2.5
2022-07-14 16:00:00,1377.0,114.25,19.8900005,2.5
2022-07-14 17:00:00,1250.0,128.0,19.155,2.5
2022-07-14 18:00:00,1271.0,150.5,18.82,2.5
2022-07-14 19:00:00,1428.0,77.0,25.62,2.0
2022-07-14 20:00:00,923.0,100.25,17.57,2.5
2022-07-14 21:00:00,1553.25,71.25,26.6075,1.5
2022-07-14 22:00:00,800.0,65.0,17.74,2.0
2022-07-14 23:00:00,907.0,72.5,18.1,1.5
2022-07-15 00:00:00,567.0,68.5,14.27,2.0
2022-07-15 01:00:00,669.0,69.5,14.600000000000001,1.5
2022-07-15 02:00:00,656.0,68.0,14.55,1.0
2022-07-15 03:00:00,276.0,97.0,7.82,3.0
2022-07-15 04:00:00,,,,
2022-07-15 05:00:00,656.0,83.5,13.3,1.0
2022-07-15 06:00:00,705.0,81.0,15.95,2.0
2022-07-15 07:00:00,898.0,69.0,15.95,2.0
2022-07-15 08:00:00,1428.5,103.5,20.2075,2.5
2022-07-15 09:00:00,1113.75,109.5,19.447499999999998,2.5
2022-07-15 10:00:00,1298.0,86.0,22.0,2.0
2022-07-15 11:00:00,1395.0,97.0,20.895,2.0
2022-07-15 12:00:00,1169.25,115.0,18.685000000000002,2.5
2022-07-15 13:00:00,1820.0,107.0,20.575,2.0
2022-07-15 14:00:00,1395.0,139.25,18.9474995,2.5
2022-07-15 15:00:00,1151.0,230.0,13.73,3.0
2022-07-15 16:00:00,1758.5,112.25,19.98,2.5
2022-07-15 17:00:00,1488.0,120.75,20.11,2.5
2022-07-15 18:00:00,1613.5,153.5,18.48,2.5
2022-07-15 19:00:00,1369.0,91.0,20.445,2.5
2022-07-15 20:00:00,1200.5,93.0,19.822499999999998,2.5
2022-07-15 21:00:00,1431.0,77.0,21.48,2.0
2022-07-15 22:00:00,1339.5,105.5,22.105,2.5
2022-07-15 23:00:00,868.0,80.75,16.2375005,2.5
2022-07-16 00:00:00,619.5,80.5,14.864999999999998,2.5
2022-07-16 01:00:00,1237.0,92.0,21.584999500000002,2.0
2022-07-16 02:00:00,,,,
2022-07-16 03:00:00,,,,
2022-07-16 04:00:00,827.0,88.25,17.5475,2.5
2022-07-16 05:00:00,793.0,93.75,17.5025,2.5
2022-07-16 06:00:00,847.0,60.0,18.17,3.0
2022-07-16 07:00:00,1820.0,107.0,25.68,2.0
2022-07-16 08:00:00,808.0,90.75,18.21,2.5
2022-07-16 09:00:00,1102.0,87.0,18.77,2.0
2022-07-16 10:00:00,1334.0,80.0,23.78,2.0
2022-07-16 11:00:00,1276.5,107.0,23.57,2.0
2022-07-16 12:00:00,1371.0,100.0,22.68,2.0
2022-07-16 13:00:00,1221.5,158.0,17.060000000000002,2.5
2022-07-16 14:00:00,1740.0,228.0,16.232499999999998,2.5
2022-07-16 15:00:00,1735.0,217.0,16.935,2.5
2022-07-16 16:00:00,1358.0,155.25,16.945,2.5
2022-07-16 17:00:00,1434.25,136.25,19.615,2.5
2022-07-16 18:00:00,1646.75,145.0,19.585,2.5
2022-07-16 19:00:00,1317.75,137.75,19.5199995,2.5
2022-07-16 20:00:00,1699.0,104.5,20.1025,2.5
2022-07-16 21:00:00,1540.0,78.0,25.47,2.0
2022-07-16 22:00:00,1648.0,91.0,19.28,2.0
2022-07-16 23:00:00,567.0,71.0,14.57,2.0
2022-07-17 00:00:00,617.0,174.75,10.1225,3.5
2022-07-17 01:00:00,671.5,124.75,14.4225,3.0
2022-07-17 02:00:00,,,,
2022-07-17 03:00:00,,,,
2022-07-17 04:00:00,1706.0,66.0,28.5,2.0
2022-07-17 05:00:00,1102.0,75.0,22.44,2.0
2022-07-17 06:00:00,,,,
2022-07-17 07:00:00,797.0,117.5,15.99,2.5
2022-07-17 08:00:00,882.0,74.0,18.01,2.0
2022-07-17 09:00:00,847.0,68.5,14.96,2.0
2022-07-17 10:00:00,1064.0,126.0,15.635,2.5
2022-07-17 11:00:00,1417.5,131.0,19.28,2.5
2022-07-17 12:00:00,1429.0,140.5,17.7375005,2.5
2022-07-17 13:00:00,1220.0,180.75,16.945,2.5
2022-07-17 14:00:00,1648.5,154.5,17.505,2.5
2022-07-17 15:00:00,1163.5,186.75,16.262500000000003,2.5
2022-07-17 16:00:00,787.5,143.25,13.8,2.5
2022-07-17 17:00:00,1195.0,160.75,16.61,2.5
2022-07-17 18:00:00,1419.5,103.25,20.1625,2.5
2022-07-17 19:00:00,1498.0,91.0,24.76,2.0
2022-07-17 20:00:00,1051.25,87.0,19.947499999999998,2.5
2022-07-17 21:00:00,736.0,65.0,15.79,2.0
2022-07-17 22:00:00,1452.5,74.5,25.450000000000003,1.5
2022-07-17 23:00:00,1102.0,73.0,22.48,2.0
2022-07-18 00:00:00,656.0,69.5,14.4,1.0
2022-07-18 01:00:00,1039.0,64.0,25.52,2.0
2022-07-18 02:00:00,627.0,61.0,17.69,2.0
2022-07-18 03:00:00,,,,
2022-07-18 04:00:00,,,,
2022-07-18 05:00:00,636.0,66.0,17.52,2.0
2022-07-18 06:00:00,777.5,108.0,15.15,3.0
2022-07-18 07:00:00,738.5,104.5,12.969999999999999,2.5
2022-07-18 08:00:00,1238.0,88.0,21.970001,2.0
2022-07-18 09:00:00,839.0,80.0,18.475,2.5
2022-07-18 10:00:00,1568.0,80.0,23.5,2.0
2022-07-18 11:00:00,1050.5,97.25,19.6525,2.5
2022-07-18 12:00:00,1136.75,96.75,20.2775,2.5
2022-07-18 13:00:00,1549.5,109.0,23.51,2.0
2022-07-18 14:00:00,1372.75,112.0,20.8575,2.5
2022-07-18 15:00:00,1027.0,96.0,19.1,2.5
2022-07-18 16:00:00,1363.5,99.25,19.855,2.5
2022-07-18 17:00:00,1453.0,132.75,20.535,2.5
2022-07-18 18:00:00,1468.0,96.0,23.03,2.0
2022-07-18 19:00:00,1540.0,88.0,24.57,2.0
2022-07-18 20:00:00,1648.0,82.0,26.26,2.0
2022-07-18 21:00:00,595.0,83.5,14.1900005,2.5
2022-07-18 22:00:00,,,,
2022-07-18 23:00:00,,,,
2022-07-19 00:00:00,,,,
2022-07-19 01:00:00,,,,
2022-07-19 02:00:00,,,,
2022-07-19 03:00:00,,,,
2022-07-19 04:00:00,1440.0,74.0,27.994999,1.0
2022-07-19 05:00:00,680.5,79.5,13.875,1.5
2022-07-19 06:00:00,729.5,104.0,14.355,2.5
2022-07-19 07:00:00,1317.0,83.0,24.055,2.0
2022-07-19 08:00:00,1044.0,94.5,20.215,2.5
2022-07-19 09:00:00,1528.0,99.0,21.07,2.0
2022-07-19 10:00:00,1079.5,126.0,18.71,2.5
2022-07-19 11:00:00,1393.0,115.75,18.81,2.5
2022-07-19 12:00:00,1194.0,133.5,20.385,2.5
2022-07-19 13:00:00,1395.0,85.0,23.91,2.0
2022-07-19 14:00:00,1395.0,82.0,21.68,2.0
2022-07-19 15:00:00,1559.0,99.0,23.11,2.0
2022-07-19 16:00:00,1304.25,126.0,18.145,2.5
2022-07-19 17:00:00,1056.0,120.25,18.634999999999998,2.5
2022-07-19 18:00:00,1498.0,85.0,24.75,2.0
2022-07-19 19:00:00,1395.0,87.0,23.9,2.0
2022-07-19 20:00:00,1298.0,74.0,24.37,2.0
2022-07-19 21:00:00,573.0,76.25,15.122500500000001,2.5
2022-07-19 22:00:00,617.5,81.5,14.89,2.0
2022-07-19 23:00:00,656.0,74.0,14.07,1.0
2022-07-20 00:00:00,656.0,61.0,15.23,1.0
2022-07-20 01:00:00,,,,
2022-07-20 02:00:00,,,,
2022-07-20 03:00:00,,,,
2022-07-20 04:00:00,,,,
2022-07-20 05:00:00,,,,
2022-07-20 06:00:00,729.5,140.0,13.445,2.5
2022-07-20 07:00:00,853.25,117.25,15.2075,2.5
2022-07-20 08:00:00,1106.5,111.5,17.427500000000002,2.5
2022-07-20 09:00:00,1395.0,81.5,24.385,2.0
2022-07-20 10:00:00,1488.0,87.5,25.17,2.0
2022-07-20 11:00:00,1268.0,101.0,21.69,2.0
2022-07-20 12:00:00,1403.0,85.0,23.62,2.0
2022-07-20 13:00:00,1559.0,98.0,23.02,2.0
2022-07-20 14:00:00,1590.0,80.0,20.55,2.0
2022-07-20 15:00:00,1327.25,135.5,18.62,2.5
2022-07-20 16:00:00,1158.0,110.0,22.88,2.0
2022-07-20 17:00:00,1450.5,122.5,20.560000000000002,2.5
2022-07-20 18:00:00,1749.0,87.0,25.485,2.0
2022-07-20 19:00:00,1107.0,110.5,19.475,2.5
2022-07-20 20:00:00,1434.0,85.0,21.08,2.0
2022-07-20 21:00:00,968.75,73.25,17.0574995,2.5
2022-07-20 22:00:00,1123.5,87.0,19.93,2.0
2022-07-20 23:00:00,622.0,101.0,12.47,3.0
2022-07-21 00:00:00,,,,
2022-07-21 01:00:00,276.0,768.0,1.25,4.0
2022-07-21 02:00:00,,,,
2022-07-21 03:00:00,,,,
2022-07-21 04:00:00,,,,
2022-07-21 05:00:00,627.0,190.0,8.75,3.0
2022-07-21 06:00:00,1237.0,109.25,20.740000000000002,2.5
2022-07-21 07:00:00,1220.5,117.25,20.13,2.5
2022-07-21 08:00:00,1167.0,85.25,15.96,2.5
2022-07-21 09:00:00,1508.0,85.0,23.99,2.0
2022-07-21 10:00:00,1345.0,83.5,23.439999,2.0
2022-07-21 11:00:00,1497.0,109.5,20.275,2.5
2022-07-21 12:00:00,1282.75,106.75,19.5275,2.5
2022-07-21 13:00:00,1540.0,104.0,22.73,2.0
2022-07-21 14:00:00,1614.0,117.0,21.645,2.0
2022-07-21 15:00:00,1616.0,112.0,18.8825005,2.5
2022-07-21 16:00:00,1209.5,106.5,18.025,2.5
2022-07-21 17:00:00,1291.5,126.5,20.55,2.5
2022-07-21 18:00:00,1160.75,116.0,19.3475,2.5
2022-07-21 19:00:00,1164.0,85.0,22.62,2.0
2022-07-21 20:00:00,1387.0,74.0,26.47,2.0
2022-07-21 21:00:00,1470.0,79.0,27.38,2.0
2022-07-21 22:00:00,1070.0,79.0,22.15,2.0
2022-07-21 23:00:00,,,,
2022-07-22 00:00:00,1092.0,67.75,27.4375,1.5
2022-07-22 01:00:00,,,,
2022-07-22 02:00:00,,,,
2022-07-22 03:00:00,398.0,94.5,11.065001,3.0
2022-07-22 04:00:00,,,,
2022-07-22 05:00:00,656.0,64.0,15.030001,2.0
2022-07-22 06:00:00,665.0,90.25,17.9775005,2.5
2022-07-22 07:00:00,1463.0,97.0,23.62,2.0
2022-07-22 08:00:00,656.0,80.5,14.51,2.0
2022-07-22 09:00:00,1540.0,78.0,27.575,2.0
2022-07-22 10:00:00,1689.5,116.0,21.062499,2.5
2022-07-22 11:00:00,1402.0,98.0,24.17,2.0
2022-07-22 12:00:00,1403.0,89.5,17.27,2.5
2022-07-22 13:00:00,1416.0,104.0,21.24,2.0
2022-07-22 14:00:00,1172.5,96.0,19.8,2.5
2022-07-22 15:00:00,1243.0,95.0,20.104999999999997,2.5
2022-07-22 16:00:00,1493.5,122.5,18.49,2.5
2022-07-22 17:00:00,1403.5,150.0,19.445,2.5
2022-07-22 18:00:00,1470.0,96.0,23.78,2.0
2022-07-22 19:00:00,1623.0,178.0,19.927499,2.5
2022-07-22 20:00:00,1068.5,100.0,19.86,2.5
2022-07-22 21:00:00,1767.0,78.0,27.82,2.0
2022-07-22 22:00:00,698.0,82.0,16.64,2.0
2022-07-22 23:00:00,1277.0,84.0,25.515,1.5
2022-07-23 00:00:00,,,,
2022-07-23 01:00:00,,,,
2022-07-23 02:00:00,1081.0,144.0,16.44,3.0
2022-07-23 03:00:00,656.0,81.0,13.49,1.0
2022-07-23 04:00:00,472.0,74.0,13.28,3.0
2022-07-23 05:00:00,1151.0,70.0,22.46,2.0
2022-07-23 06:00:00,622.0,84.0,13.93,2.0
2022-07-23 07:00:00,627.0,72.0,14.9175,2.5
2022-07-23 08:00:00,862.5,72.0,15.61,2.0
2022-07-23 09:00:00,1453.0,89.0,25.04,2.0
2022-07-23 10:00:00,1186.0,116.25,19.9375,2.5
2022-07-23 11:00:00,1140.5,121.5,18.195,2.5
2022-07-23 12:00:00,1632.0,109.0,23.365,2.0
2022-07-23 13:00:00,1560.5,212.25,17.8,2.5
2022-07-23 14:00:00,1360.5,224.5,17.4925,2.5
2022-07-23 15:00:00,1517.5,158.0,17.835,2.5
2022-07-23 16:00:00,1203.5,129.25,18.605,2.5
2022-07-23 17:00:00,1838.0,194.0,19.490000000000002,2.5
2022-07-23 18:00:00,1919.5,180.0,19.19,2.5
2022-07-23 19:00:00,1664.5,162.5,18.965000500000002,2.5
2022-07-23 20:00:00,1507.5,122.0,19.315,2.5
2022-07-23 21:00:00,1331.0,100.5,19.3625005,2.5
2022-07-23 22:00:00,712.0,106.25,14.04,2.5
2022-07-23 23:00:00,1129.25,109.75,19.6475,2.5
2022-07-24 00:00:00,927.0,145.5,15.545,3.0
2022-07-24 01:00:00,832.0,68.75,20.360000499999998,2.5
2022-07-24 02:00:00,766.0,62.0,22.95,2.0
2022-07-24 03:00:00,,,,
2022-07-24 04:00:00,,,,
2022-07-24 05:00:00,,,,
2022-07-24 06:00:00,656.0,96.5,12.379999,2.0
2022-07-24 07:00:00,1574.5,83.0,27.365000000000002,1.5
2022-07-24 08:00:00,656.0,86.0,13.61,2.0
2022-07-24 09:00:00,1233.0,73.0,21.005001,2.0
2022-07-24 10:00:00,1395.0,85.0,22.22,2.0
2022-07-24 11:00:00,879.0,166.75,13.7625,2.5
2022-07-24 12:00:00,1248.5,179.75,17.302500000000002,2.5
2022-07-24 13:00:00,1232.5,171.5,16.925,2.5
2022-07-24 14:00:00,1627.25,235.0,16.4375,2.5
2022-07-24 15:00:00,1701.5,211.75,18.445,2.5
2022-07-24 16:00:00,1248.5,192.5,18.29,2.5
2022-07-24 17:00:00,1587.5,170.25,18.299999999999997,2.5
2022-07-24 18:00:00,1346.5,160.0,16.54,2.5
2022-07-24 19:00:00,1389.0,117.5,19.612499999999997,2.5
2022-07-24 20:00:00,1630.0,84.75,26.7325,1.5
2022-07-24 21:00:00,1699.0,90.0,26.955,1.5
2022-07-24 22:00:00,978.25,77.0,19.3000005,2.5
2022-07-24 23:00:00,1105.0,85.0,20.77,2.5
2022-07-25 00:00:00,,,,
2022-07-25 01:00:00,738.0,90.5,15.705,3.0
2022-07-25 02:00:00,243.0,111.0,6.63,4.0
2022-07-25 03:00:00,,,,
2022-07-25 04:00:00,,,,
2022-07-25 05:00:00,,,,
2022-07-25 06:00:00,908.0,113.0,16.77,3.0
2022-07-25 07:00:00,1077.0,152.0,16.38,3.0
2022-07-25 08:00:00,1244.25,106.75,19.1575,2.5
2022-07-25 09:00:00,839.5,97.0,18.29,2.5
2022-07-25 10:00:00,1395.0,78.0,25.13,2.0
2022-07-25 11:00:00,1632.0,152.0,19.48,2.5
2022-07-25 12:00:00,1425.5,119.5,20.3775005,2.5
2022-07-25 13:00:00,1431.5,137.0,18.420001,2.5
2022-07-25 14:00:00,1568.0,116.0,22.55,2.0
2022-07-25 15:00:00,1232.0,151.75,18.71,2.5
2022-07-25 16:00:00,1480.25,108.75,19.5600005,2.5
2022-07-25 17:00:00,1122.5,142.0,17.845,2.5
2022-07-25 18:00:00,1494.0,100.0,22.985,2.0
2022-07-25 19:00:00,1264.25,97.25,20.9,2.5
2022-07-25 20:00:00,1442.0,113.0,22.02,2.5
2022-07-25 21:00:00,1208.0,88.5,21.38,2.0
2022-07-25 22:00:00,862.0,61.0,24.26,2.0
2022-07-25 23:00:00,656.0,68.0,14.54,1.0
2022-07-26 00:00:00,1031.0,62.75,27.7175,1.5
2022-07-26 01:00:00,1060.5,79.0,21.98,2.0
2022-07-26 02:00:00,,,,
2022-07-26 03:00:00,,,,
2022-07-26 04:00:00,741.0,90.0,18.0,3.0
2022-07-26 05:00:00,,,,
2022-07-26 06:00:00,1001.75,103.75,17.4,2.5
2022-07-26 07:00:00,1408.0,135.0,19.052500000000002,2.5
2022-07-26 08:00:00,752.0,108.0,15.28,2.0
2022-07-26 09:00:00,1317.0,76.0,24.115,2.0
2022-07-26 10:00:00,1238.0,75.0,24.34,2.0
2022-07-26 11:00:00,1395.0,95.0,23.9,2.0
2022-07-26 12:00:00,1578.0,105.0,24.45,2.0
2022-07-26 13:00:00,1685.0,108.0,23.36,2.0
2022-07-26 14:00:00,1494.75,127.75,17.0074995,2.5
2022-07-26 15:00:00,1354.5,125.25,17.2624995,2.5
2022-07-26 16:00:00,1300.5,121.5,20.395,2.5
2022-07-26 17:00:00,1414.25,128.75,20.165,2.5
