,time,median_length,median_delay_seconds,median_regular_speed,median_seconds,median_speed,median_jam_level
54,2022-07-07 16:00:00,1070.5,813.0,7.6499996,953.5,4.005,4.0
86,2022-07-07 18:00:00,1523.0,170.0,31.19,284.0,19.27,2.0
87,2022-07-07 18:00:00,1353.0,643.0,31.03,745.0,6.53,4.0
88,2022-07-07 19:00:00,973.0,505.0,15.22,635.0,5.9,4.0
89,2022-07-07 19:00:00,2696.0,621.0,21.44,920.0,10.52,3.0
97,2022-07-08 16:00:00,2925.0,937.0,13.35,1256.0,8.37,4.0
116,2022-07-08 18:00:00,1170.0,559.5,12.075,709.5,6.48,4.0
131,2022-07-08 21:00:00,1703.0,374.5,20.27,501.0,11.33,3.0
132,2022-07-08 21:00:00,1703.0,666.5,21.175,813.0,7.54,4.0
133,2022-07-08 22:00:00,566.0,287.5,45.33,324.5,6.3199997,4.0
176,2022-07-10 17:00:00,689.0,640.0,10.889999,746.0,3.315,4.0
177,2022-07-10 18:00:00,862.0,456.0,12.37,581.0,5.34,4.0
178,2022-07-10 19:00:00,768.0,499.0,11.89,616.0,4.48,4.0
179,2022-07-10 20:00:00,1381.0,158.0,30.21,262.0,18.945,2.0
180,2022-07-10 20:00:00,768.0,497.5,11.91,614.0,4.5,4.0
181,2022-07-10 20:00:00,1213.0,232.0,21.9,354.5,12.03,3.0
182,2022-07-10 21:00:00,724.0,380.5,15.389999,492.0,5.22,4.0
218,2022-07-12 07:00:00,861.0,589.0,9.03,667.0,4.64,4.0
249,2022-07-12 18:00:00,2770.0,758.0,17.345001,1063.0,9.385,3.0
286,2022-07-13 14:00:00,1270.0,727.0,14.28,865.0,5.39,4.0
290,2022-07-13 15:00:00,1128.0,473.0,17.46,560.0,7.24,4.0
297,2022-07-13 15:00:00,1071.0,289.5,20.93,370.5,10.39,3.0
310,2022-07-13 17:00:00,863.5,658.0,11.405001,748.0,4.165,4.0
316,2022-07-13 18:00:00,1105.0,630.0,12.56,759.0,5.36,4.0
371,2022-07-15 17:00:00,2428.0,493.5,14.16,770.5,11.725,3.0
372,2022-07-15 17:00:00,1484.0,827.0,13.934999,1042.5,5.84,4.0
388,2022-07-15 18:00:00,2608.0,406.0,15.04,697.0,12.195,3.0
