,time,median_length,median_delay_seconds,median_regular_speed,median_seconds,median_speed,median_jam_level
22,2022-07-06 16:00:00,974.0,848.0,13.32,925.0,3.78,4.0
34,2022-07-06 17:00:00,1978.0,1010.0,19.85,1153.0,6.45,4.0
41,2022-07-06 18:00:00,633.0,128.5,30.42,177.5,12.780001,3.0
42,2022-07-06 18:00:00,1912.0,930.0,25.72,1091.0,6.2349997,4.0
45,2022-07-06 19:00:00,974.0,291.0,28.94,368.0,9.5,3.0
46,2022-07-06 19:00:00,1685.0,758.0,29.49,895.0,6.77,4.0
52,2022-07-07 16:00:00,1776.0,758.0,24.17,921.0,6.37,4.0
73,2022-07-07 17:00:00,2042.0,535.0,18.94,698.0,10.52,3.0
74,2022-07-07 17:00:00,1258.0,495.0,15.75,596.0,7.59,4.0
81,2022-07-07 18:00:00,2051.0,237.0,28.5,397.0,18.575,2.0
82,2022-07-07 18:00:00,1849.0,248.0,28.189999,403.0,17.22,3.0
83,2022-07-07 18:00:00,1849.0,660.0,27.1,799.0,8.32,4.0
206,2022-07-11 17:00:00,1230.0,817.0,23.91,937.0,4.715,4.0
229,2022-07-12 17:00:00,2069.0,426.0,28.67,590.0,11.94,3.0
240,2022-07-12 17:00:00,1858.0,722.0,20.38,848.0,6.39,4.0
246,2022-07-12 18:00:00,1039.0,111.0,29.99,193.0,19.3,2.0
247,2022-07-12 18:00:00,2051.0,476.5,29.595001,663.0,11.29,3.0
248,2022-07-12 18:00:00,1586.0,637.0,26.64,726.5,6.61,4.0
254,2022-07-12 19:00:00,974.0,580.0,29.34,658.0,5.34,4.0
343,2022-07-14 18:00:00,1470.0,140.0,25.92,271.0,19.49,2.0
344,2022-07-14 18:00:00,1102.0,631.0,24.61,760.5,7.675,4.0
345,2022-07-14 18:00:00,1144.0,210.5,25.045,315.5,13.15,3.0
384,2022-07-15 18:00:00,2041.0,370.0,23.05,546.5,13.37,3.0
385,2022-07-15 18:00:00,1144.0,801.0,19.62,943.0,5.24,4.0
488,2022-07-16 14:00:00,2169.0,531.0,12.9,723.0,10.79,3.0
489,2022-07-16 14:00:00,2169.0,723.0,13.1,915.0,8.53,4.0
511,2022-07-16 15:00:00,2075.0,1293.5,11.81,1456.5,5.115,4.0
524,2022-07-16 16:00:00,1640.0,561.0,11.99,683.0,8.63,4.0
690,2022-07-17 15:00:00,2169.0,1017.0,13.25,1209.0,6.45,4.0
716,2022-07-17 16:00:00,2090.0,467.0,15.4,624.0,11.3,3.0
717,2022-07-17 16:00:00,2030.0,671.0,15.61,846.0,5.79,4.0
846,2022-07-19 10:00:00,571.0,478.0,27.54,530.0,4.48,4.0
854,2022-07-19 10:00:00,1978.0,501.0,35.37,654.0,10.88,3.0
857,2022-07-19 11:00:00,1494.0,285.0,34.105,401.0,14.5,3.0
860,2022-07-19 11:00:00,1494.0,164.5,33.675,279.0,19.225,2.0
861,2022-07-19 11:00:00,1749.0,495.5,27.935001,631.5,9.3,4.0
865,2022-07-19 17:00:00,775.0,575.5,17.165,636.5,4.375,4.0
971,2022-07-23 14:00:00,1925.0,643.0,11.95,800.0,8.02,4.0
972,2022-07-23 14:00:00,2075.0,632.0,15.700001,793.0,9.41,3.0
981,2022-07-23 15:00:00,1820.0,472.0,11.68,629.0,10.41,3.0
982,2022-07-23 15:00:00,1820.0,504.0,11.6,661.0,9.89,4.0
990,2022-07-23 18:00:00,2090.0,668.0,20.26,848.0,8.86,4.0
