,time,median_length,median_delay_seconds,median_regular_speed,median_seconds,median_speed,median_jam_level
995,2022-07-23 19:00:00,1829.0,546.0,23.91,689.0,9.55,4.0
996,2022-07-23 19:00:00,2169.0,280.0,22.94,479.0,17.36,3.0
1016,2022-07-24 12:00:00,1434.0,319.0,16.4,423.0,11.14,3.0
1017,2022-07-24 12:00:00,2075.0,719.0,16.51,880.0,8.48,4.0
1028,2022-07-24 14:00:00,2051.0,800.0,14.379999,957.5,7.575,4.0
1037,2022-07-24 15:00:00,2051.0,715.0,11.555,852.0,7.8500004,4.0
1044,2022-07-24 15:00:00,2051.0,627.0,12.66,788.0,9.34,3.0
1092,2022-07-25 11:00:00,1705.0,468.5,20.58,659.5,9.4,3.0
1093,2022-07-25 11:00:00,1705.0,575.0,20.58,766.0,8.01,4.0
1095,2022-07-25 12:00:00,1353.0,522.0,18.33,684.0,7.02,4.0
1196,2022-07-27 06:00:00,821.0,489.5,33.32,553.5,5.33,4.0
1197,2022-07-27 06:00:00,1829.0,476.0,32.79,618.0,10.64,3.0
1198,2022-07-27 07:00:00,1820.0,227.5,28.445,380.5,17.205,3.0
1235,2022-07-28 06:00:00,551.0,397.0,32.12,440.0,4.52,4.0
1236,2022-07-28 06:00:00,1820.0,392.0,29.12,544.5,11.92,3.0
1247,2022-07-28 07:00:00,676.0,160.5,33.125,213.0,11.395,3.0
1248,2022-07-28 07:00:00,676.0,219.0,33.02,271.0,8.95,4.0
1381,2022-07-30 11:00:00,1559.0,541.0,25.48,661.0,8.48,4.0
1384,2022-07-30 12:00:00,2110.0,483.0,20.03,666.0,11.4,3.0
1385,2022-07-30 12:00:00,1829.0,663.0,23.36,843.0,8.65,4.0
1394,2022-07-30 13:00:00,2439.0,517.5,17.064999,726.0,11.815001,3.0
1403,2022-07-30 14:00:00,2439.0,721.5,14.24,934.0,9.014999,4.0
1414,2022-07-30 15:00:00,2359.0,758.0,14.555,969.0,8.685,4.0
1427,2022-07-30 16:00:00,2388.0,486.5,15.64,716.0,11.04,3.0
1428,2022-07-30 16:00:00,2124.0,631.0,13.84,857.0,8.01,4.0
1439,2022-07-30 17:00:00,974.0,606.0,16.99,684.0,5.12,4.0
1455,2022-07-30 18:00:00,2051.0,557.5,21.33,715.0,10.3,3.0
1456,2022-07-30 18:00:00,775.0,595.5,17.06,656.5,6.47,4.0
1474,2022-07-30 20:00:00,535.0,141.0,29.6,180.0,10.67,3.0
1475,2022-07-30 20:00:00,1957.0,627.0,19.970001,783.0,9.014999,4.0
1492,2022-07-30 21:00:00,535.0,140.0,29.6,179.0,10.75,3.0
1493,2022-07-30 21:00:00,974.0,521.5,17.65,598.5,6.2200003,4.0
1498,2022-07-30 22:00:00,775.0,510.5,28.095,571.5,4.65,4.0
1503,2022-07-30 22:00:00,1957.0,492.5,31.755001,648.5,10.855,3.0
1573,2022-07-31 17:00:00,775.0,577.0,12.69,640.0,4.37,4.0
1588,2022-07-31 18:00:00,775.0,492.0,14.39,554.5,5.1800003,4.0
1689,2022-08-02 11:00:00,1810.0,436.0,26.67,577.0,11.4,3.0
1691,2022-08-02 11:00:00,1829.0,623.0,26.47,769.0,8.72,4.0
1693,2022-08-02 12:00:00,1730.0,241.5,27.06,350.0,15.835,3.0
1694,2022-08-02 12:00:00,1730.0,164.0,27.53,296.0,21.08,2.0
1718,2022-08-02 17:00:00,784.0,97.0,35.19,159.0,17.81,2.0
1719,2022-08-02 17:00:00,784.0,174.0,34.83,236.0,11.94,3.0
1720,2022-08-02 17:00:00,974.0,415.0,16.93,478.0,4.91,4.0
1726,2022-08-02 18:00:00,866.0,95.0,35.23,164.0,18.94,2.0
1727,2022-08-02 18:00:00,1056.0,194.0,19.83,278.0,13.65,3.0
1845,2022-08-05 11:00:00,1749.0,415.0,18.01,558.0,11.41,3.0
1846,2022-08-05 11:00:00,1672.0,550.0,17.6,696.0,9.75,4.0
1850,2022-08-05 12:00:00,1559.0,507.0,17.725,635.5,9.139999,4.0
1947,2022-08-06 17:00:00,2642.0,727.5,16.355,1011.5,9.34,4.0
1950,2022-08-06 17:00:00,1388.0,238.0,20.58,373.0,13.36,3.0
1958,2022-08-06 18:00:00,1388.0,217.0,20.58,352.0,14.69,3.0
1985,2022-08-06 21:00:00,775.0,315.0,15.59,374.0,7.44,4.0
1987,2022-08-06 21:00:00,840.0,162.0,26.81,231.0,13.08,3.0
2040,2022-08-07 14:00:00,2051.0,646.0,12.84,804.0,9.18,3.0
2041,2022-08-07 14:00:00,2051.0,776.0,14.215,933.5,7.88,4.0
2050,2022-08-07 15:00:00,1640.0,667.0,10.34,792.0,8.13,4.0
2064,2022-08-07 15:00:00,2051.0,620.0,12.415,777.0,9.49,3.0
2135,2022-08-07 19:00:00,1912.0,533.5,26.235,687.5,9.995001,3.0
2190,2022-08-08 17:00:00,974.0,419.0,17.44,496.0,7.06,4.0
2214,2022-08-09 08:00:00,988.0,511.5,31.425,588.5,6.035,4.0
2215,2022-08-09 08:00:00,1840.0,327.0,29.6,480.0,14.58,3.0
2216,2022-08-09 08:00:00,1559.0,138.0,31.27,258.0,21.385,2.0
2223,2022-08-09 15:00:00,775.0,387.0,21.63,463.0,6.28,4.0
2229,2022-08-09 15:00:00,775.0,202.0,20.6,263.0,10.59,3.0
2231,2022-08-09 16:00:00,1788.0,441.5,31.535,586.5,10.9,3.0
2232,2022-08-09 16:00:00,974.0,576.0,18.265,668.5,5.36,4.0
2248,2022-08-09 17:00:00,1258.0,627.0,16.69,729.0,6.165,4.0
2297,2022-08-10 17:00:00,866.0,606.5,35.54,683.5,5.8999996,4.0
2299,2022-08-10 17:00:00,866.0,275.0,35.54,344.0,9.05,3.0
2304,2022-08-10 18:00:00,866.0,725.0,36.15,794.0,3.92,4.0
2321,2022-08-10 19:00:00,866.0,314.0,37.29,383.0,8.12,3.0
2322,2022-08-10 19:00:00,1278.0,1202.0,31.6,999.0,4.4,4.0
2414,2022-08-12 19:00:00,1317.0,515.0,29.01,616.0,7.57,4.0
2415,2022-08-12 19:00:00,1609.0,198.0,25.96,359.0,16.39,3.0
2416,2022-08-12 19:00:00,1264.0,145.0,24.76,265.0,17.16,2.0
2420,2022-08-12 20:00:00,1737.0,159.0,26.81,317.0,19.71,3.0
2562,2022-08-14 13:00:00,2030.0,672.5,13.075,851.5,8.575001,4.0
2572,2022-08-14 15:00:00,2075.0,865.5,12.915,1029.0,7.255,4.0
2746,2022-08-17 17:00:00,1493.0,816.5,24.7,957.0,5.6099997,4.0
2749,2022-08-17 17:00:00,2169.0,547.0,24.6,742.0,10.51,3.0
2751,2022-08-17 18:00:00,1493.0,679.0,25.02,848.0,7.91,4.0
2752,2022-08-17 18:00:00,1996.5,264.0,26.654999,459.0,14.875,3.0
2824,2022-08-19 19:00:00,1851.0,273.0,24.93,437.0,15.23,3.0
2825,2022-08-19 19:00:00,1975.0,559.0,25.775,726.5,9.77,4.0
2829,2022-08-19 20:00:00,1706.0,225.0,27.16,377.0,16.29,3.0
2860,2022-08-20 19:00:00,775.0,1320.0,14.5,1380.5,2.0149999,4.0
2984,2022-08-23 18:00:00,581.0,554.0,26.974998,598.0,3.6,4.0
2985,2022-08-23 18:00:00,1849.0,574.5,30.66,712.5,9.335,3.0
2986,2022-08-23 18:00:00,1504.0,140.0,32.15,249.0,21.77,2.0
2993,2022-08-23 21:00:00,825.5,932.0,35.875,995.5,2.99,4.0
2994,2022-08-24 06:00:00,547.0,742.0,34.58,790.0,2.48,4.0
3030,2022-08-25 07:00:00,1150.0,190.0,24.93,308.0,13.36,3.0
3031,2022-08-25 07:00:00,1073.5,469.5,24.34,550.0,6.7349997,4.0
3121,2022-08-26 18:00:00,1559.0,752.0,25.03,872.0,6.43,4.0
3128,2022-08-26 19:00:00,529.0,717.0,26.97,767.0,2.56,4.0
3180,2022-08-27 12:00:00,2051.0,502.0,23.7,660.0,11.09,3.0
3181,2022-08-27 12:00:00,1849.0,694.0,26.52,852.0,8.65,4.0
3207,2022-08-27 13:00:00,2051.0,544.0,20.73,682.0,10.1,3.0
3208,2022-08-27 13:00:00,1849.0,624.5,21.235,750.5,8.65,4.0
3222,2022-08-27 14:00:00,1849.0,349.0,21.15,487.0,13.65,3.0
3252,2022-08-27 17:00:00,4095.0,830.0,18.04,1265.0,11.65,3.0
3253,2022-08-27 17:00:00,2419.0,800.0,15.65,1106.0,8.44,4.0
3262,2022-08-27 18:00:00,2419.0,467.0,15.84,720.0,11.73,3.0
3263,2022-08-27 18:00:00,2051.0,898.0,24.61,1077.0,6.99,4.0
3267,2022-08-27 19:00:00,1934.5,486.0,26.560001,630.5,11.059999,3.0
3268,2022-08-27 19:00:00,2075.0,930.5,27.08,1088.5,6.505,4.0
3280,2022-08-27 20:00:00,2041.0,282.5,21.125,456.5,16.085,3.0
3281,2022-08-27 20:00:00,2051.0,887.5,29.665,1045.5,7.0,4.0
3292,2022-08-27 21:00:00,1838.0,453.0,32.755,574.0,10.5,3.0
3293,2022-08-27 21:00:00,1031.0,491.0,30.92,562.0,6.24,4.0
3336,2022-08-28 13:00:00,2075.0,827.0,13.31,988.0,7.55,4.0
3351,2022-08-28 14:00:00,2399.0,551.5,12.89,756.0,11.41,3.0
3352,2022-08-28 14:00:00,2075.0,801.0,13.21,988.0,7.75,4.0
3367,2022-08-28 15:00:00,2075.0,496.0,14.47,664.5,11.360001,3.0
3368,2022-08-28 15:00:00,2051.0,713.0,14.12,871.0,6.37,4.0
3379,2022-08-28 16:00:00,974.0,760.5,16.08,825.0,4.0550003,4.0
3401,2022-08-28 17:00:00,775.0,401.0,11.4,470.0,6.07,4.0
3493,2022-08-29 20:00:00,2010.0,160.0,29.67,327.0,22.06,2.0
3494,2022-08-29 20:00:00,1915.0,297.5,29.654999,444.5,14.845,3.0
3495,2022-08-29 20:00:00,1820.0,511.0,29.15,664.0,10.04,4.0
3528,2022-08-30 14:00:00,946.0,536.0,20.295,611.0,5.57,4.0
3544,2022-08-30 15:00:00,2133.0,416.0,20.575,623.5,12.94,3.0
3545,2022-08-30 15:00:00,2053.0,522.5,19.32,678.0,9.870001,4.0
3548,2022-08-30 16:00:00,2021.0,244.0,22.41,419.0,16.85,3.0
3566,2022-08-30 18:00:00,1462.0,588.0,28.97,725.0,7.64,4.0
3572,2022-08-30 18:00:00,1849.0,324.5,30.04,476.0,13.555,3.0
3602,2022-08-31 14:00:00,1559.0,391.0,18.93,505.5,11.09,3.0
3603,2022-08-31 14:00:00,1919.5,568.5,17.96,722.0,9.585,4.0
3649,2022-09-01 13:00:00,1829.0,336.0,19.1,464.5,13.9,3.0
3650,2022-09-01 13:00:00,821.0,454.0,23.99,517.0,5.71,4.0
3652,2022-09-01 14:00:00,741.0,579.0,19.2,634.0,4.2,4.0
3655,2022-09-01 14:00:00,1749.0,345.0,17.87,473.0,13.08,3.0
3662,2022-09-01 15:00:00,2090.0,553.5,23.125,723.5,10.469999,4.0
3670,2022-09-01 16:00:00,2162.0,468.5,24.35,642.0,12.190001,3.0
3671,2022-09-01 16:00:00,1927.0,522.5,24.58,683.5,10.195,4.0
3686,2022-09-01 17:00:00,2169.0,262.0,24.365002,442.0,16.91,3.0
3687,2022-09-01 17:00:00,2359.0,698.0,24.95,892.0,9.63,4.0
3716,2022-09-02 09:00:00,896.5,574.0,18.785,690.0,4.765,4.0
3758,2022-09-02 17:00:00,1934.5,542.0,23.335,685.0,9.31,3.0
3766,2022-09-02 17:00:00,1912.0,710.0,23.18,868.0,7.03,4.0
3784,2022-09-02 18:00:00,1812.5,889.0,26.31,1021.5,5.63,4.0
3787,2022-09-02 19:00:00,892.0,265.0,29.11,341.0,9.41,3.0
3788,2022-09-02 19:00:00,1912.0,1023.0,27.97,1187.0,5.17,4.0
3798,2022-09-02 20:00:00,1182.0,670.0,28.335,755.5,6.15,4.0
3886,2022-09-03 15:00:00,2082.5,878.5,13.095,1041.0,7.185,4.0
3911,2022-09-03 16:00:00,2051.0,478.5,15.87,643.5,11.405,3.0
3912,2022-09-03 16:00:00,2070.5,660.0,13.185,816.5,8.559999,4.0
3964,2022-09-03 20:00:00,1590.0,449.5,17.96,584.0,9.91,3.0
3965,2022-09-03 20:00:00,1590.0,656.0,17.96,786.0,7.27,4.0
3991,2022-09-04 13:00:00,2359.0,928.0,12.82,1124.0,7.6549997,4.0
3995,2022-09-04 14:00:00,2359.0,655.0,11.73,848.0,10.0,4.0
4008,2022-09-04 15:00:00,2359.0,755.0,10.89,928.0,7.97,4.0
